Cluster,timestamp
3,2021-01-31
3,2021-01-31
3,2021-01-31
3,2021-01-31
3,2021-01-31
3,2021-01-31
3,2021-01-31
3,2021-01-31
4,2021-01-31
4,2021-01-31
4,2021-01-31
4,2021-01-31
4,2021-01-31
4,2021-01-31
4,2021-01-31
1,2021-01-31
2,2021-01-31
2,2021-01-31
2,2021-01-31
2,2021-01-31
2,2021-01-31
2,2021-01-31
2,2021-01-31
2,2021-01-31
2,2021-01-31
1,2021-01-31
1,2021-01-31
1,2021-01-31
1,2021-01-31
1,2021-01-31
1,2021-01-31
1,2021-01-31
1,2021-01-31
1,2021-01-31
0,2021-01-31
0,2021-01-31
0,2021-01-31
0,2021-01-31
0,2021-01-31
0,2021-01-31
0,2021-01-31
0,2021-01-31
3,2021-02-28
3,2021-02-28
3,2021-02-28
2,2021-02-28
2,2021-02-28
3,2021-02-28
3,2021-02-28
3,2021-02-28
2,2021-02-28
3,2021-02-28
1,2021-02-28
4,2021-02-28
4,2021-02-28
4,2021-02-28
4,2021-02-28
4,2021-02-28
4,2021-02-28
4,2021-02-28
2,2021-02-28
2,2021-02-28
2,2021-02-28
2,2021-02-28
2,2021-02-28
2,2021-02-28
2,2021-02-28
2,2021-02-28
2,2021-02-28
2,2021-02-28
1,2021-02-28
1,2021-02-28
1,2021-02-28
1,2021-02-28
1,2021-02-28
1,2021-02-28
1,2021-02-28
1,2021-02-28
1,2021-02-28
1,2021-02-28
0,2021-02-28
0,2021-02-28
0,2021-02-28
0,2021-02-28
0,2021-02-28
0,2021-02-28
0,2021-02-28
0,2021-02-28
0,2021-02-28
2,2021-03-31
3,2021-03-31
3,2021-03-31
3,2021-03-31
3,2021-03-31
3,2021-03-31
3,2021-03-31
3,2021-03-31
3,2021-03-31
3,2021-03-31
4,2021-03-31
4,2021-03-31
4,2021-03-31
4,2021-03-31
4,2021-03-31
4,2021-03-31
4,2021-03-31
4,2021-03-31
4,2021-03-31
4,2021-03-31
2,2021-03-31
2,2021-03-31
2,2021-03-31
2,2021-03-31
2,2021-03-31
2,2021-03-31
2,2021-03-31
2,2021-03-31
2,2021-03-31
1,2021-03-31
1,2021-03-31
1,2021-03-31
2,2021-03-31
1,2021-03-31
1,2021-03-31
2,2021-03-31
2,2021-03-31
0,2021-03-31
0,2021-03-31
0,2021-03-31
0,2021-03-31
0,2021-03-31
0,2021-03-31
3,2021-04-30
3,2021-04-30
3,2021-04-30
3,2021-04-30
3,2021-04-30
2,2021-04-30
3,2021-04-30
3,2021-04-30
1,2021-04-30
4,2021-04-30
4,2021-04-30
4,2021-04-30
4,2021-04-30
4,2021-04-30
4,2021-04-30
2,2021-04-30
2,2021-04-30
2,2021-04-30
2,2021-04-30
2,2021-04-30
2,2021-04-30
2,2021-04-30
1,2021-04-30
1,2021-04-30
1,2021-04-30
1,2021-04-30
1,2021-04-30
1,2021-04-30
3,2021-04-30
1,2021-04-30
1,2021-04-30
0,2021-04-30
1,2021-04-30
0,2021-04-30
